staffRoleTag,tags1,tags2
SupportStaff,"PaymentsAdmin,CryptoViewOnlyAdmin,UserInfoAdmin,UserInfoSessionsAdmin,UserInfoEditUserAdmin,UserInfoCryptoAdmin,UserInfoTransactionsAdmin,KycAdmin,NewUsersAdmin,WalletEditAdmin,StatsAdmin,BattlesAdmin,VaultAdmin,FreeSpinsAdmin,TwoFaDisableAdmin",PromoCampaignsReadAdmin
MarketingStaff,"MarketingAdmin,AffiliatesAdmin,CryptoAdmin,CryptoViewOnlyAdmin,UserInfoAdmin,UserInfoSessionsAdmin,UserInfoEditUserAdmin,UserInfoCryptoAdmin,UserInfoTransactionsAdmin,KycAdmin,CommunityConnectAdmin,WalletEditAdmin,CdnUploadAdmin,VaultAdmin","FreeSpinsAdmin,EvRewardsSystemAdmin,PromoCampaignsReadAdmin,PromoCampaignsSuperAdmin"
VipStaff,"AffiliatesAdmin,PaymentsAdmin,CryptoViewOnlyAdmin,UserInfoAdmin,UserInfoSessionsAdmin,UserInfoEditUserAdmin,UserInfoCryptoAdmin,UserInfoTransactionsAdmin,KycAdmin,VipManagerAdmin,VipManagerSuperAdmin,NewUsersAdmin,WalletEditAdmin,StatsAdmin","BattlesAdmin,VaultAdmin,FreeSpinsAdmin,VipManagerBulkAdmin,EvRewardsSystemAdmin,PromoCampaignsReadAdmin,PromoCampaignsSuperAdmin"
SocialMediaStaff,"AffiliatesAdmin,ReduceSystemAdmin,PaymentsAdmin,UserInfoAdmin,UserInfoSessionsAdmin,UserInfoEditUserAdmin,UserInfoCryptoAdmin,UserInfoTransactionsAdmin,KycAdmin,WalletEditAdmin,StatsAdmin,BattlesAdmin,CdnUploadAdmin,EventsManaging,VaultAdmin","FreeSpinsAdmin,PromoCampaignsReadAdmin,PromoCampaignsSuperAdmin"
PaymentsStaff,"AffiliatesAdmin,PaymentsAdmin,CryptoAdmin,CryptoViewOnlyAdmin,UserInfoAdmin,UserInfoSessionsAdmin,UserInfoEditUserAdmin,UserInfoCryptoAdmin,UserInfoTransactionsAdmin,KycAdmin,KycSupAdmin,NewUsersAdmin,WalletEditAdmin,StatsAdmin,BattlesAdmin","VaultAdmin,FreeSpinsAdmin,PromoCampaignsReadAdmin"
TechOpsStaff,"AffiliatesAdmin,GameEditAdmin,PaymentsAdmin,CryptoAdmin,CryptoViewOnlyAdmin,UserInfoAdmin,UserInfoSessionsAdmin,UserInfoEditUserAdmin,UserInfoCryptoAdmin,UserInfoTransactionsAdmin,KycAdmin,KycSupAdmin,NewUsersAdmin,WalletEditAdmin,StatsAdmin","BattlesAdmin,VaultAdmin,FreeSpinsAdmin,TwoFaDisableAdmin,PromoCampaignsReadAdmin"
